sentiment	text
positif	le personnel est très agréable et serviable, nous reviendrons avec plaisir!!!
positif	hôtel idéalement situé
positif	la salle du petit déjeuner la cour entre les deux bâtiments le style architectural du bâtiment
positif	emplacement, personnel top, qualité literie
positif	choix alimentaire abondant.
positif	une jolie parenthèse très agréable calme avec un personnel aux petits soins quelque soit le moment d'intervention.
positif	situation plein centre de la rochelle.
positif	hôtel avec emplacement idéal pour visite à pied du coeur de la rochelle.
positif	l'emplacement est parfait, pas loin des magasins, bars et restaurants.
positif	la situation de l hôtel est parfaite.
positif	chambre très spacieuse et literie confortable.
positif	a la fois proche de la gare et du centre ville.
positif	très bien placé
positif	et le personnel à l’écoute et très professionnels!
positif	excellent emplacement, personnel vraiment très sympathique.
positif	bon petit déjeuner, il pourrait y avoir davantage de choix.
positif	aucun bruit alors que l’hôtel se situe à proximité des bars ouverts tard le soir.
positif	toutes les choses
positif	le bâtiment est ancien mais on peut constater que des travaux d'amélioration ont été apportés.
positif	proximité de la ville
positif	le petit déjeuner est exceptionnel
positif	le personnel a volontiers accepté de mettre mes bouteilles d'eau au congélateur
positif	emplacement parfait en plein centre de la rochelle
positif	pas commentaire
positif	l'emplacement aux portes du vieux port idéal pour tout faire à pied , le calme malgré l'emplacement ( visiblement bien isolé) , le petit déjeuner copieux , le personnel très professionnel aimable souriant et à l'écoute !
positif	l’hôtel est très bien situé, à 700m de la gare et 5min du vieux port.
positif	hôtel très bien situé dans la rochelle, conforme à la description, mais pas plus.
positif	chambre et salle de bains tres confortable emplacement parfait permettant de visiter la ville sans besoin de bouger la voiture petit déjeuner de qualité.
positif	super séjour, nous recommandons !
positif	localisation confort amabilité du personnel
positif	chambre spacieuse, très propre, literie confortable, beau balcon.
positif	l emplacement de l hôtel dans le centre ville - vieux port, parfait !
positif	la chambre n'était pas très grande mais parfaite pour une nuit ou deux, et la salle de bain était impeccable.
positif	accueil, amabilité et réactivité du personnel, confort, petit déjeuner au top, possibilité de parking, proximité du centre ville du vieux port et des autres bassins.
positif	extérieur très agréable
positif	￼
positif	possibilité de laisser ses bagages.
positif	très professionnel, nous y retournerons.
positif	l'emplacement (proximité du vieux port , le parking , l'amabilité des personnes de l'acceuille fait qu'il y ait un lit simple supplémentaire (pour 3 personnes)
positif	sur le port emplacement
positif	personnel accueillant et arrangeant au niveau horaires.
positif	situé un peu à l’écart, il offre du calme tout en restant proche des beautés et curiosités de la rochelle, accessibles à pied.
positif	personnel accueillant
positif	un emplacement idéal
positif	literie confortable.
positif	bien situé mais extérieur bruyant, chambre sans clim et impossible de laisser les fenêtres ouvertes
positif	la situation, la propreté et l'isolation phonique
positif	le personnel est très accueillant, chaleureux et aidant!
positif	merci !
positif	accès facile à la salle de restaurant.
positif	l'hôtel est très bien équipé et parfaitement entretenu.
positif	personnel très compétent, serviable et sympathique, hall magnifique et buffet de petit déjeuner copieux.
positif	emplacement au coeur des quais
positif	nous avions demandé la possibilité d'avoir une baignoire ce qui a été le cas....merci beaucoup.
positif	bien situé et calme avec un parking.
positif	on reviendra !
positif	la chambre était sereine  le personnel très bien  situation très très bien pour les accès commerces et commodités
positif	bien placé.
positif	tout!
positif	le petit déjeuner était excellent
positif	très bel emplacement.
positif	personnel très agréable.
positif	accueil très agréable, de bon conseil pour le choix du restaurant et des zones à visiter.
positif	tout le reste ....sauf l’hôtel..........
positif	hôtel très bien situé
positif	mais l'hotel en soi n'a rien accueillant .
positif	a recommander.
positif	!
positif	emplacement top par rapport au centre ville!
positif	la personne au bar, très mal aimable.
positif	la situation géographique était top, avec un balcon mais pour le prix, nous nous attendions à mieux !
positif	petit déjeuner varié et copieux.
positif	le petit déjeuner était parfait, varié et de très bonne qualitée.
positif	l’emplacement est parfait pour découvrir le centre de la rochelle, il se situé dans une rue peu passante et non bruyante, ce qui est un vrai plus en plein centre !
positif	la propreté, l'emplacement, le lit, le personnel
positif	l’emplacement au port
positif	emplacement au top du top
positif	chambre propre et cosy !
positif	et de plus très bonne literie parking à disposition.
positif	emplacement et bonne literie
positif	l'hôtel répond aux mails.
positif	personnel aimable et serviable.
positif	très bon service de restauration.
positif	on a aimé la diversité des choix dans le petit déjeuner.
positif	les chambres sont très propres et bien équipées.
positif	l’emplacement, la propreté et l’accueil.
positif	sa situation géographique et le petit-déjeuner
positif	nous avons laissé la voiture au parking de l'hôtel: à réserver, 13 € la journée.
positif	l'accueil est toujours impeccable ainsi que l'attention du personnel, le confort des chambres et le calme.
positif	hôtel parfaitement situé.
positif	chambres plutôt grandes récemment refaites.
positif	balcon donnant sur le vieux port
positif	hôtel très bien situé sur le port à 2 pas de tout !
positif	la localisation et le calme
positif	situation et le parking couvert
positif	très calme.
positif	l'hôtel son emplacement la décoration tout était parfait.
positif	stationnement possible sur place.
positif	nous avons reçu un excellent service à l'accueil: yann nous a conseillé d'excellents restaurants et un parcours pour faire du vélo.
positif	de plus la vue de la chambre était parfaite ( vue port ).
positif	le confort.
positif	très propre et clean.
positif	la gentillesse du personnel de l’hôtel
positif	emplacement décoration personnel petit déjeuner
positif	l'emplacement, confort de la chambre, parking disponible sur réservation, produits locaux et maison au petit déjeuner
positif	hôtel très bien situé, très confortable tout en ayant une touche de modernité, personnel aimable et disponible.
positif	bon rapport qualité/prix.
positif	dans un quartier très agréable, proche du centre.
positif	bien situé, personnel disponible, souriant sans être obséquieux, efficace.
positif	petit déjeuner excellent.
positif	calme et silencieux , propre et confortable.
positif	la confort, la proximité.
positif	emplacement.
positif	emplacement parfait, personnel très disponible et aimable et décoration très soignée et tendance, nous reviendrons avec plaisir !
positif	l'emplacement et surtout la propreté et aussi la discrétion du personnel.
positif	personnel à votre écoute et très attentif.
positif	bonne isolation phonique de la chambre, important pour un séjour en été car le port est très animé.
positif	l'emplacement au centre ville.
positif	bon accueil et amabilité du personnel.
positif	j'ai déjà séjourné plusieurs fois au saint-nicolas pour le travail, et pour les loisirs, et j'y reviendrai à nouveau.
positif	personnel sympathique et arrangeant.
positif	vue sur le port magnifique
positif	arrivée très tardive avec 3 enfants et aide immédiate.
positif	l’accueil,l’emplacement,le petit déjeuner,et la disponibilité du personnel et de la direction !
positif	emplacement parfait, décoré avec goût, literie confortable
positif	l’emplacement
positif	petit déjeuner succinct mais bon.
positif	chambre spacieuse et lit xxl en taille comme en confort !
positif	le buffet pour le petit dej est excellent avec beaucoup de choix.
positif	la localisation
positif	très bel hôtel charme, emplacement parfait et surtout personnel efficace et souriant même en période de grand afflux
positif	l'emplacement et l'amabilité du personnel.
positif	très bel accueil.
positif	la situation...
positif	accueil irréprochable, décoration soignée, situation idéale, petit déjeuner de qualité, ascenseur, kids friendly, rapport qualité prix excellent.
positif	l'accueil est super et le personnel est très agréable.
positif	chambre fonctionnelle et propre, personnel disponible et agréable, emplacement idéal en face du port, le balcon spacieux, ascenseur.
positif	une équipe souriante et agréable.
positif	le calme du lieu pourtant tres proche du centre ville .
positif	services, accueil, gentillesse du personnel
positif	on s'y sent à l'aise!
positif	cadre très agréable et vraiment bien situé  deco très sympa petit déjeuner excellent personnels très gentils
positif	large choix au petit déjeuner dans une salle agréable.
positif	très bon emplacement, hôtel cosy et très bon accueil.
positif	bel emplacement en centre ville.
positif	son aménagement esthétique au rdc, son parking, sa localisation par rapport à la ville et la qualité du personnel.
positif	la litterie , la bouilloire avec de quoi prendre du the ou du café
positif	le double vitrage permet de dormir malgré le bruit extérieur.
positif	en pleine zone de vie
positif	petit déjeuner très varié, des produits de qualité.
positif	très bel hôtel, très bon emplacement à deux pas à pied du vieux port.
positif	bonne isolation phonique.
positif	accueil reactif et très agréable.
positif	petit déjeuner simple mais bon.
positif	hôtel très bien situé, au calme.
positif	l'emplacement et la propreté de la chambre.
positif	i emplacement la vue les services rendus personnellement très gentils
positif	l'emplacement, l'accueil, la gentillesse, la fenêtre qui s'ouvre en grand sur une cour
positif	tres bien placé dans la rochelle, facile d'accès
positif	l'emplacement en centre ville est idéal, et au calme
positif	près du port
positif	l’accès au balcon.
positif	confort  ecran plat plateau bouilloire  prix pour le chien correct
positif	la proximité du centre
positif	parking souterrain attenant à l'hôtel.
positif	on passé un très bon séjour 🙂
positif	bref je recommande à 1000% !
positif	l’hôtel est très bien placé, chambre avec balcon et vue sur le port.
positif	l’emplacement, les espaces communs, le petit-déjeuner copieux et de qualité.
positif	hôtel calme , lit grand confort, petit déjeuner complet avec un personnel adorable.
positif	le calme
positif	l'emplacement est parfait pour une visite de la rochelle.
positif	a refaire.
positif	la chambre est bien insonorisée.
positif	décoration des parties communes très soignée  emplacement idéal et calme  réception au top très bon petit déjeuner
positif	la literie est de bonne qualité.
positif	l emplacement par son atout du centre-ville
positif	chambre très propre et correct.
positif	l’accueil chaleureux, la propreté des chambres récemment rénovées, le petit déjeuner et la fraîcheur des produits proposés.
positif	la salle de bain était belle.
positif	établissement très bien placé  la gentillesse du personnel
positif	la rochelle est parfaite aussi pour un séjour en amoureux.
positif	le personne est très agréable, l'hôtel est vraiment très bien
positif	chambre donnant sur le port
positif	très bien localisé
positif	nous le recommandons aisément.
positif	possibilité de bocaux pour le soir.
positif	tout est parfaitement bien organisé.
positif	emplacement super à 5 minutes du centre.
positif	l'hôtel est très bien situé, ce n'est pas loin de la ville et du vieux port.
positif	personnel agréable et souriant.
positif	le petit déjeuner était très bon, avec des produits frais et variés.
positif	la chambre est tout à fait fonctionnelle, taille correcte.
positif	hôtel idéalement situé.
positif	la position géographique était parfaite
positif	très grand lit et literie de qualité.
positif	vue imprenable sur le port.
positif	la sympathie et bon service du personnel de nuit car on est arrivés assez tard.
positif	petit déjeuner copieux
positif	l’emplacement et la vue sur le port.
positif	très bel hôtel, belles prestations, très bon accueil, situation idéale.
positif	excellent emplacement à 2 pas de port, sans les nuisances sonores.
positif	tout.
positif	.
positif	très bien placé : vieux port.
positif	très bon petit-déjeuner.
positif	situation idéale avec une vue magnifique sur le vieux port de la rochelle.
positif	la largeur du lit d'autant plus très confortable, ainsi que le balcon .
positif	l'accueil et le personnel étaient extrêmement agréables.
positif	ma chambre cette fois était un peu petite mais pour deux nuits ce n'est pas trop gênant.
positif	personnel très sympatique, chambre très propre et confortable et petit déjeuner très bien
positif	pour le confort plus de la chambre : chausson et peignoir-sortie de bain/douche.
positif	café, thés et tisanes ds la chambre.
positif	la vue de la chambre depuis la petite terrasse.
positif	l emplacement est top et très agréable.
positif	très belle vu, emplacement idéal!
positif	au calme et près de tout.
positif	un hôtel très agréable dans le vieux centre de la ville , récemment refait ,cosi , tres propre et confortable  gentil accueil très bon rapport qualité prix
positif	emplacement, super petit déjeuner
positif	la vue panoramique sur le centre de la rochelle
positif	et le personnel était super, à l’écoute et tres chaleureux.
positif	très bon emplacement personnel très agréable et souriant
positif	très bon emplacement.
positif	le petit déjeuner exceptionnel la conception des locaux, l'accès direct au parking intérieur, l'ambiance cosy la formule de restauration rapide à base de bocaux la bonne volonté du personnel à la réception le fait qu'on ne fasse pas le ménage avant notre départ, quelle tranquillité !
positif	bon petit déjeuner,.
positif	la situation sur le port, la vue
positif	accueil sympathique, propreté, les conditions sanitaire covid-19 assurées,literie confortable tout y était parfait .
positif	tout la chambre le personnel le petit déjeuner et l'emplacement
positif	la chambre est super, lit et coussins très confortables, belle vue sur la rue, une bonne insonorisation avec 2 fenêtres
positif	idéalement placé pas loin du port dans une petite rue au calme.
positif	la situation
positif	le parking , et l’accueil
positif	le petit déjeuner et l'accueil.
positif	le calme.
positif	trop beau
positif	l’emplacement et le parking privé
positif	une vue exceptionnelle!
positif	le petit déjeuner est copieux et propose un bon choix
positif	chambre très calme avec petit balcon super sympa ainsi qu'un très bon personnel.
positif	le personnel et la possibilité de prendre des repas.
positif	le personnel est très aimable.
positif	chambre prore et pratique
positif	la localisation est parfaite à quelques pas du port de la rochelle.
positif	accueil propreté équipements
positif	la vue , le lieux
positif	excellent séjour avec parking protégé.
positif	place de parking possible car peu de place dans les rues avoisinantes
positif	on nous a donné une chambre sur le port et cela nous a enchantés.
positif	l'emplacement à 2min du port et 5min de l'aquarium à pied est parfait.
positif	l originalité de la salle des petits déjeuners et la qualité irréprochable de ceux ci!
positif	l'emplacement est parfait, en plein coeur de la ville sans être dérangé par les nuisances sonores du port.
positif	confort.
positif	lit confortable.
positif	accueil d une hôtesse rayonnante et de bons conseils propreté chambre agréable et du goût  repas en chambre excellent  emplacement
positif	très bien situé, très près du vieux port et de la pittoresque rue saint-nicolas.
positif	très bel emplacement, superbe vue
positif	léger
positif	l emplacement et le personnel, l hôtel est super bien placé sur le port , une belle vue, personnels très agréable pas de soucis
positif	a 2 pas du centre, à 2 pas du vieux port.
positif	l'atmosphère du quartier près d'une charmante placette.
positif	chambre calme et propre.
positif	chambres simples mais propres avec vue sur le port.
positif	l'hôtel est extrêmement bien situé sur le vieux port de la rochelle !
positif	j’ai aimé la vue depuis le balcon de la chambre et le fait que le propriétaire ait eu l’intelligence de ne pas demander comment s’était passé la nuit lors du check-out…
positif	la déco, la qualité du buffet petit déjeuner
positif	la chambre est spacieuse, propre et possédant un king size à la literie d'un confort sans nom.
positif	situation géographique, proche du port et calme.
positif	hôtel très agréable, vraiment bien situé, avec parking très pratique en supplément.
positif	la chambre est très agréable et propre.
positif	ascenseur très pratique.
positif	chambre bien isolée du moins celle qui donne vers l'intérieur.
positif	le personnel était fort sympathique, agréable, aux petits soins.
positif	chambre spacieuse  emplacement idéal
positif	l’hôtel était très bien situé près du port et de la vieille ville.
positif	bien situé, proximité du centre, belle vue, les plats sont assez bons
positif	et parking sous-sol top pour les voitures !
positif	d'être directement tout près du vieux port et le parking direct à l'hôtel.
positif	chambre plus grande que je ne l'espérais et literie confortable.
positif	emplacement idéal pour visiter la rochelle à pied...
positif	hotel très bien situé à deux pas du port.
positif	cet hôtel est trés propre et trés proche du centre de la rochelle
positif	l'emplacement, la qualité des éléments présents dans la chambre et dans les communs.
positif	le personnel a l’accueil était très agréable.
positif	le petit déjeuner délicieux.
positif	l emplacement petite ruelle ds le centre ville ,le parking .
positif	a part la situation géographique rien
positif	très eau séjour.
positif	parking pratique.décoration très jolie
positif	l'emplacement près du port, la chambre climatisée, l'accueil très professionnel et un bon petit déjeuner malgré les contraintes sanitaires
positif	l’emplacement est idéal.
positif	l'emplacement
positif	la propreté et la bienveillance du personnel.
positif	petit déjeuner dans le bar en bas, sur le port, top.
positif	super bien situé.
positif	calme propre
positif	très bon emplacement et services très bon.
positif	le personnel très sympathique était à l'écoute de nos attentes.
positif	l'emplacement, c'est tout
positif	emplacement au top en plein centre avec une jolie vue.
positif	emplacement - en centre ville devant le port
positif	les chambres sont neuves et au dessus des standards d'un 3 étoiles.
positif	bel emplacement  mais les chambres auraient besoin d un sérieux lifting
positif	emplacement idéal.
positif	l emplacement central.
positif	le petit-déjeuner bien à part les œufs brouillés et le manque de crudités.
positif	très bonne situation avec parking en centre ville pour le départ et retrait des dossards du marathon de la rochelle
positif	personnel accueillant.
positif	le personnel est très sympa le prix
positif	emplacement de l'hôtel parfait
positif	bref, je conseille et je reviendrai !
positif	le personnel professionnel.
positif	son emplacement.
positif	la chambre était parfaite pour une famille de deux adultes et deux enfants.
positif	l'emplacement est idéal, mais avec un centre ville piétonnier et de vélos, les véhicules sont garés dans les parkings payants.
positif	accueil hyper agréable et chaleureux _ charme d'un petit 2 étoiles loin des hôtels de groupe.
positif	la proximité des restaurants, café et bar.
positif	accueil, chambre, décoration, petit déjeuner et situation géographique
positif	baignoire !
positif	très bonne literie et propreté de la salle de bain.
positif	hôtel très bien placé.
positif	le personnel est très accueillant, le réceptionniste nous a d’ailleurs gentiment garder les bagages durant notre journée de visite.
positif	le personnel au petit soin.
positif	possibilité de parking pour 13 euros /jour.
positif	le petit dejeuner était parfait.
positif	sérénité et prix acceptable bref on conseille vivement cet hotel
positif	bien situé sur le port
positif	buffet très garni et très bon
positif	emplacement en plein centre du port, vue imprenable sur les 2 tours et la grande roue
positif	prix correct pour l'emplacement.
positif	ville.
positif	malgré les travaux en cours les doubles fenêtres ont été très efficaces.
positif	la vue magnifique sur le port de la rochelle
positif	fenêtre a triple vitrage filtrant bien le bruit de la rue.
positif	la chambre est confortable et plutôt bien isolée.
positif	proximité du port et du centre ville .
positif	grande literie de qualité (était un critère de choix ppur moi)
positif	sur un plan global l’hôtel st nicholas offre des prestations de qualité, propreté des chambres, confort et accueil
positif	accueil chaleureux personnel à l'écoute hôtel très bien situé, chambre confortable et la décoration parfaite.
positif	lit très confortable et très belle douche.
positif	les employées ,le veilleur de nuit très gentil ,la propriété de l hôtel,le petit déjeuner produits frais fait maison.
positif	très bonne literie
positif	emplacement exceptionnel superbe vue sur le port accueil professionnel et courtois
positif	isa et patrick
positif	idéalement situé
positif	hôtel très bien situé proche du centre ville.
positif	bon rapport qualité prix et bon emplacement, accueil agréable.
positif	tout était parfait merci
positif	très bel établissement professionnel à l’écoute et très accueillant
positif	très belle chambre en plus avec les animaux parfait et pas loin du centre à pied génial et hotel silencieux vu l'emplacement, hotel à recommandé
positif	balcon très grand.
positif	hôtel très bien situé en plein centre ville de la rochelle, avec parking.
positif	l emplacement bien situé près du port
positif	emplacement calme
positif	l'accueil le service de l'hôtel
positif	s était le deuxième séjour a l hôtel saint nicolas, la chambre était même supérieure a notre premier séjour, l emplacement parfait avec parking privé et près d une petite place avec restaurant....
positif	tous
positif	en plein centre de la rochelle chambres petites mais confortable
positif	vue sur le port
positif	tout a été très bien: l'emplacement, la propreté, le confort, et enfin, l'accueil.
positif	petits déjeuners complets beaucoup de choix comme nous pouvons donner nos choix principaux la veille au soir , le matin le plateau est déjà préparé gain de temps , mais boissons a volonté et bien sur pas de problème pour avoir un complément tout compris
positif	très bon emplacement, le personnel est très aimable, petit-déjeuner très bon.
positif	la possibilité de garer la voiture sur place
positif	un point qui fait tout : la situation géographique donne sur le vieux port et on regarde les tours de bon matin depuis la fenêtre.
positif	nous reviendrons avec plaisir hors we prolongé
positif	emplacement tres bien , chambre et parties communes tres propres
positif	il est idéalement situé, abordable en tarif, confortable et décoré avec goût, aussi bien dans les chambres que dans les parties communes.
positif	le petit déjeuner était très variés et les produits de belle qualité.
positif	l'emplacement de l'hôtel, le calme de la rue, la propreté des chambres et de la zone repas, le petit-déjeuner très varié avec des produits locaux, la possibilité de consommer sur place boissons et planches apéro, les conseils de visites de la réceptionniste, la possibilité de garer sa voiture au parking (attention il faut penser à demander tout de suite à la réservation car il n'y pas de places pour tous les clients)
positif	super accueil avec un personnel très aimable, hôtel calme et bien situé.
positif	emplacement parfait, chambre de bonne taille et équipements suffisants.
positif	acceuil et amabilité du personnel
positif	la délicate attention portée à égard pour notre 1er anniversaire de mariage !
positif	notre chambre était très propre et la décoration y était soignée, bien équipée.
positif	accueil chaleureux emplacement idéal avec des enfants
positif	la chambre et de qualité et le petit déjeuner était composé de produits frais maison.
positif	personnel très agréable et accueillant.
positif	emplacement, calme , petit déjeuner
positif	propreté et situation géographique
positif	la chambre mériterait cependant d’être un peu rafraîchie :)
positif	je suis venue plusieurs fois dans cet établissement.
positif	l'accueil chaleureux et souriant  la disponibilité et professionnalisme des personnels  le cadre du rez de chaussée  la qualité du petit dejeuner la localisation de l'hôtel
positif	très bien situé  insonorisation parfaite literie ok  petit déjeuner parfait
positif	joli bâtiment, quartier très agréable, calme, bien situé, petit déjeuner excellent
positif	parking privatif non négligeable en ce lieu.
positif	; matelas correct .
positif	l'espace transat et table buvette devant l'hôtel pour faire 1 pose ou boire 1 verre est agréable.
positif	le personnel est très aimable et toujours à notre écoute !
positif	petit déjeuner bien
positif	nous avons pu marcher partout sans avoir besoin d'une voiture.
positif	3ème etage car le 4ème donné initialement n etait pas chauffé
positif	excellent petit déj
positif	excellent petit déjeuner
positif	toujours très bon accueil.
positif	un très beau cadre et un excellent emplacement près du vieux port.
positif	personnel moyen.
positif	la proximité, la vue
positif	situé en plein centre ville près d'une petite place.
positif	la qualité
positif	très belle salle de petit déjeuner et chambres confortables
positif	petit hôtel sympathique.
positif	chambres accolées dans un couloir séparé des autres chambres, très pratiques quand on voyage en famille.
positif	petit déjeuner bon rapport qualité prix très bon emplacement
positif	un séjour très agréable, à refaire sans hésiter!
positif	salle de bain, double vitrage, responsable très agréable et commercial
positif	nous avons aimé la situation de l’hôtel et le confort et la décoration des chambres.
positif	tout était bien.
positif	on a aimé la proximité de l'hôtel avec le centre ville.
positif	un emplacement parfait avec une superbe vue !
positif	petit déjeuner bien garni.
positif	gros plus le parking
positif	l’emplacement, plein cœur du centre ville de la rochelle.
positif	le personnel est agréable.
positif	très bon emplacement, chambre simple mais très correcte.
positif	je recommande cet hôtel à la vue fabuleuse sur le port de la rochelle.
positif	chambre confortable et personnel disponible
positif	deco sympa, personnel accueillant, cadre chaleureux!
positif	emplacement idéal face au port
positif	emplacement prèe du port
positif	nous reviendrons.
positif	les chambres sont confortables mais auraient besoin d’un rafraîchissement.
positif	son emplacement
positif	la situation idéale de l'hôtel à proximité de tout et avec une belle vue
positif	très bon emplacement avec vue sur le vieux port bon rapport qualité/prix
positif	j'ai adoré la vue de la chambre.
positif	hôtel calme avec un service de qualité.
positif	la grandeur de la chambre
positif	gentillesse amabilité, petit dej genial
positif	l accueil  la vue l isolation phonique
positif	le prix n’est pas en rapport avec les prestations petit déjeuner moyen, dîners vite épuisés, la propreté correcte sans plus, chambre petite et accès parking cher + petit déjeuner cher pour des mini viennoiseries décongelées
positif	chambre avec vue sur le vieux port.
positif	- chambre impeccable - petit-déjeuner excellent - emplacement idéal
positif	le patron de l'établissement fut très sympathique, excellent accueil, et la chambre en ligne avec la description du site, propre, simple mais pratique, et très bien située.
positif	personnel souriant et agréable, la chambre a été faite avec grand soin !
positif	accueil très chaleureux.
positif	le personnel très agréable et très bien manger dans l hôtel et prix correct
positif	les conditions covid ne permettent pas de porter un jugement sérieux sur l'établissement compte tenu des contraintes dues au virus ......un plus pour la proximité du vieux la rochelle ....un point faible le petit déjeuner sur la qualité des viennoiseries ..!
positif	au cœur de la rochelle, emplacement idéal !
positif	l’accueil du personnel et l’emplacement
positif	emplacement  vu sur le port literie confortable  personnel agréable
positif	localisation idéale.
positif	le petit déjeuner est suffisant.
positif	le réceptionniste extrêmement désagréable, qui me conseille d'arrêter de passer par booking, car il leur vole de l'argent !
positif	hôtel très bien situé, avec parking (avantage non négligeable à la rochelle !)
positif	hôtel idéalement situé à la rochelle, le parking de l’hôtel nous a permis de visiter sans se soucier du stationnement.
positif	le point fort est l'emplacement et la possibilité de laisser sa voiture au parking de l'hôtel pour un prix correct
positif	covid oblige, petit-dej et dîner en chambre: bien organisé et copieux.
positif	emplacement idéal chambre spacieuse et confortable accueil parfait
positif	l’hôtel est situé à 2 pas du vieux port.
positif	le cadre face au vieux port.
positif	un emplacement au top à 5 mn du centre mais vraiment au calme , une très bonne literie et une salle de sport très bien équipée....sans compter le petit déjeuner vraiment excellent avec des produits locaux , on s'est régalés.
positif	l’emplacement est excellent, très bonne option pour dormir à la rochelle
positif	personnel et emplacement
positif	le port et le centre ville sont à 2 pas et la gare à quelques minutes.
positif	le calme,le lit,l emplacement,
positif	emplacement
positif	simple mais excellent croissant
positif	l’accueil, le lieux et la propreté ainsi que les équipements
positif	emplacement à deux pas du port.
positif	- excellent emplacement - personnel sympathique et attentionné
positif	salle du petit déjeuner lumineuse et agréable  choix salé/sucré nombreux et excellent
positif	!!!
positif	accueil très agréable, délicieux petit déjeuner, et surtout hôtel très bien situé !
positif	salle de bain un peu petite mais fonctionnelle
positif	l'emplacement avec vue sur le vieux port
positif	ambiance très sympa, le personnel est adorable.
positif	nous avons pris le petit déjeuner à l’exterieur de l’hotel car la disposition des tables dans le passage ne nous a pas semblé agréable et est même gênant avec les valises.
positif	personnel très sympathique et à votre écoute
positif	tout est accessible à pied, proche de la gare sncf, la localisation est vraiment pratique!
positif	excellent emplacement !
positif	hotel proche de tous.
positif	sa localisation, pas de bruit, p’tit déjeuner super, un parking dans l’hôtel
positif	personnel agréable
positif	l emplacement  l insonorisation de la chambre
positif	la situation tout proche du vieux port  parking privé pour les voitures à l’intérieur de l’hôtel  les vélos aussi à l’intérieur dans un coin du parking  pdj très copieux et varié : salé/sucré
positif	emplacement génial pour tous les lieux stratégiques et boutiques, nous reviendrons !
positif	chambres bien équipées, notamment la salle de bain.
positif	le petit déjeuner est excellent avec des produits de la région.
positif	bien un peu juste en quantité !
